Lake Name,County,State,SurveyName,Contributor Name,Year,Month,Day,Date,Approx Time of Day,Elapsed Time (sec),Surface Water Temperature (oF),Conductivity (µS/cm),Latitude,Longitude,Location Name,Notes
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:02:30,150,,319,42.08891,-85.82564,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:03:00,180,,323,42.08893,-85.82565,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:03:30,210,,324,42.08896,-85.82567,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:04:00,240,,326,42.08898,-85.82567,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:04:30,270,,326,42.08898,-85.82566,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:05:00,300,,326,42.08898,-85.82567,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:05:30,330,,326,42.08897,-85.82567,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:06:00,360,,326,42.08896,-85.82567,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:06:30,390,,326,42.08899,-85.82567,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:07:00,420,,325,42.08901,-85.82568,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:07:30,450,,325,42.089,-85.82565,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:08:00,480,,326,42.08895,-85.82565,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:08:30,510,,326,42.08898,-85.82566,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:09:00,540,,325,42.08901,-85.82568,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:09:30,570,,325,42.08904,-85.82568,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:10:00,600,,325,42.08899,-85.82569,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:10:30,630,,325,42.08896,-85.82565,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:11:00,660,,325,42.089,-85.82565,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:11:30,690,,325,42.08898,-85.82565,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:12:00,720,,325,42.089,-85.82569,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:12:30,750,,325,42.08899,-85.8257,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:13:00,780,,325,42.08896,-85.82568,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:13:30,810,,325,42.08895,-85.82568,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:14:30,870,,322,42.08895,-85.82571,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:15:00,900,,321,42.08891,-85.82571,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:15:30,930,,321,42.08893,-85.8257,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:16:00,960,,321,42.08891,-85.82578,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:16:30,990,,320,42.08899,-85.8258,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:17:00,1020,,318,42.089,-85.82589,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:17:30,1050,,318,42.08892,-85.82592,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:18:00,1080,,318,42.08885,-85.82612,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:18:30,1110,,319,42.08877,-85.82639,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:19:00,1140,,317,42.08866,-85.82671,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:19:30,1170,,317,42.08854,-85.8271,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:20:00,1200,,317,42.08844,-85.82747,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:20:30,1230,,317,42.08832,-85.82776,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:21:00,1260,,317,42.08818,-85.82814,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:21:30,1290,,317,42.08807,-85.82858,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:22:00,1320,,317,42.08794,-85.829,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:22:30,1350,,317,42.08783,-85.82944,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:23:00,1380,,317,42.08774,-85.82989,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:23:30,1410,,317,42.08771,-85.83016,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:24:00,1440,,317,42.08761,-85.83059,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:24:30,1470,,317,42.08748,-85.831,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:25:00,1500,,317,42.08734,-85.83142,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:25:30,1530,,317,42.0872,-85.8318,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:26:00,1560,,317,42.08703,-85.83212,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:26:30,1590,,317,42.08675,-85.83235,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:27:00,1620,,317,42.08648,-85.83259,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:27:30,1650,,317,42.08618,-85.83282,Main Lake,
Cedar Lake,Van Buren,Michigan,kayak tour 2,D. McLaughlin,2020,4,6,4/6/20,10:28:00,1680,,317,42.08586,-85.83302,Main Lake,
